material_nk_comparison_data.csv
AIR
7059
AG
AL
AL2O3
AL2O3P
ALAS
ALCU
ALON
ALSB
ALSI
ALSITI
ARACHI
ASI
AU
BAF2
BK7
CAF2
CARBAM
CCL4
CDSE
CDTE
CO
CO_2
COR7059
COSI2-4
CR
CR3SI
CR5SI3
CRSI2EL2
CU
CU2O
CUO
DIAM
FESI2EL1
FESI2EL2
FESI2EPI
GAAS
GAAS100
GAAS111
GAASO
GAASOX
GAP
GAP100
GAPOX
GASB
GASBOX
GE
GE100
H2O
HFO2
HFSI2
INAS
INASOX
INGAAS
INP
INPOX
INSB
INSBOX
IR
IR3SI5E
IR3SI5P
ITO2
KCL
LASF9
LI
LIF
MGF2
MO
MOSI2-A
MOSI2-B
NBSI-A
NBSI-B
NI
NI2SI
NI3SI
NISI
OS
P_SIAS
P_SIUD
PBS
PBSE
PD
PD2SI-A
PD2SI-B
PT
RESI1-75
RH
SF11
SI100_2
SI110
SI111
SI3N4
SIAM1
SIAM2
SIC
SICR
SIGE_GE
SIGE_SI
SIO
SIO2
SIOP
SIPORE
TA
TAOX1
TAOX2
TASI2-A
TASI2-B
THF4
TI
TINI
TIO2
TIO2B
TISI-A
V
VSI2-A
VSI2-B
W
WSI2-A
WSI2-B
Y2O3
ZNSCUB
ZNSE
ZRO2
ZRSI2
ALAS028T
ALAS052T
ALAS072T
ALAS098T
ALAS125T
ALAS152T
ALAS178T
ALAS204T
ALAS228T
ALAS305T
ALAS331T
ALAS361T
ALAS390T
ALAS421T
ALAS445T
ALAS469T
ALAS499T
ALAS527T
ALAS552T
ALAS578T
ALAS602T
ALAS626T
GAAS031T
GAAS041T
GAAS060T
GAAS081T
GAAS103T
GAAS126T
GAAS150T
GAAS175T
GAAS199T
GAAS224T
GAAS249T
GAAS273T
GAAS297T
GAAS320T
GAAS344T
GAAS367T
GAAS391T
GAAS415T
GAAS443T
GAAS465T
GAAS488T
GAAS515T
GAAS546T
GAAS579T
GAAS603T
GAAS634T
SICR-T02
SICR-T10
SICR-T15
SICR-T20
SICR-T25
SICR-T30
SICR-T35
SICR-T40
SICR-T45
ALGAINP
ALGAINP00
ALGAINP10
ALGAINP30
ALGAINP60
ALGAINP70
ALGAINP100
ALGAAS
ALGAAS00
ALGAAS10
ALGAAS20
ALGAAS30
ALGAAS40
ALGAAS50
ALGAAS60
ALGAAS70
ALGAAS80
ALGAAS90
ALGAAS100
HGCDTE
HGCDTE0
HGCDTE2
HGCDTE3
INGASB
INGASB0
INGASB1
INGASB3
INGASB5
INGASB7
INGASB9
INGASB10
RESIGE
RESIGE0
RESIGE22
RESIGE39
RESIGE51
RESIGE64
RESIGE75
RESIGE83
RESIGE91
RESIGE1
REINGAAS
REINGAS0
RINGAS10
RINGAS20
RINGAS24
SIGE
SI11GE89
SI20GE80
SI28GE72
SI65GE35
SI85GE15
SI98GE02
STINGAAS
SINGAS0
SINGAS10
SINGAS20
SINGAS24
SION
SION0
SION20
SION40
SION60
SION80
SIPOLY
SIPOLY10
SIPOLY20
SIPOLY30
SIPOLY40
SIPOLY50
SIPOLY60
SIPOLY70
SIPOLY80
SIPOLY90
STSIGE
STSG0
STSG064
STSG123
STSG169
STSG229
ZNCDTE
ZNCDTE0
ZNCDTE1
ZNCDTE3
ZNCDTE5
ZNCDTE7
ZNCDTE9
ZNCDTE10
ZNSETE
ZNSETE0
ZNSETE1
ZNSETE3
ZNSETE5
ZNSETE7
ZNSETE9
ZNSETE10
